index,Genre,Year,Movies Released,Gross,Tickets Sold,Inflation-Adjusted Gross,Top Movie,Top Movie Gross (That Year),Top Movie Inflation-Adjusted Gross (That Year)
20,Adventure,2015,51,3063807262,355658524,3190256960,Star Wars Ep. VII: The Force Awakens,742208942,772841448.728747
44,Action,2015,56,2947442069,338704883,3038182801,Jurassic World,652270625,672351601.17833
68,Drama,2015,287,2070185234,240584394,2158042014,American Sniper,347897084,362661520.085061
92,Comedy,2015,121,1293229974,148452655,1331620315,Pitch Perfect 2,184296230,189767178.908515
116,Thriller or Suspense,2015,72,1089501477,125482735,1125580133,The Hunger Games: Mockingjay - Part 2,274185395,283264997.694682
140,Horror,2015,24,374324652,43043467,386099899,Goosebumps,79132868,81622175.2404924
164,Romantic Comedy,2015,23,74106836,8790834,78853781,Focus,53862963,57313178.0772978
187,Musical,2015,8,68944880,7956106,71366271,Into the Woods,37130717,38434772.993242
211,Documentary,2015,143,65083771,7648965,68611216,Monkey Kingdom,16432322,17322929.768829
235,Dark Comedy,2015,13,74779827,8445027,75751892,Krampus,41465710,42004723.8892826
256,Western,2015,6,29521197,3501919,31412213,The Hateful Eight,29045855,30906422.3929374
276,Concert or Performance,2015,1,1150000,136417,1223660,The Met: Live in HD - Tannhauser,1150000,1223660.0
293,Multiple Genres,2015,1,2412493,286179,2567026,2015 Oscar Shorts,2412493,2567026.0
298,Reality,2015,3,604870,71751,643606,Benpao Ba! Xiongdi,309297,329104.443900342
